bathrooms,bedrooms,list_price,latitude,longitude,lot_sqft,sqft,year_from_now,APT_type,COND_type,COOP_type,Country Homes/Acreag_type,FARM_type,LAND_type,MULT_type,OTHER_type,RENT_type,RESI_type,Timeshare_type,actual rent
-0.441802053,-0.296535015,-0.245919605,-1.225784703,0.874250473,-0.106808636,-0.692658951,-0.136211777,0,0,0,0,0,0,0,0,0,1,0,2100
0.294165717,0.495164426,0.001764158,0.047953224,0.397832723,-0.106808636,0.876014749,-1.12408383,0,0,0,0,0,0,0,0,0,1,0,3409
0.294165717,0.495164426,-0.232251151,-1.022483529,0.756422164,-0.095839737,0.341445544,-0.858118277,0,0,0,0,0,0,0,0,0,1,0,2000
-0.441802053,-1.088234456,-0.164478404,-0.8666105,0.721858462,-0.146825825,-0.780243736,0.167748855,1,0,0,0,0,0,0,0,0,0,0,2400
0.294165717,-0.296535015,0.252409418,-0.994797362,0.74233844,-0.106808636,0.226679274,-0.706137961,1,0,0,0,0,0,0,0,0,0,0,6365
1.030133487,1.286863867,0.12426767,1.340363203,1.280505049,-0.116399532,-0.063256566,2.333468356,0,0,0,0,0,0,0,0,0,1,0,3600
3.238036797,2.870262749,0.651072637,-1.185979622,0.8697305,-0.106808636,2.209115579,-0.668142882,0,0,0,0,0,0,0,0,0,1,0,11381
-0.441802053,-0.296535015,-0.245919605,-0.565848359,-0.14059209,-0.146825825,0.138490456,-1.010098593,0,0,0,0,0,0,0,0,0,1,0,1850
-0.441802053,-0.296535015,-0.265909717,0.215244246,-1.392064608,-0.104796752,-0.549503131,1.345596303,0,0,0,0,0,0,0,0,0,1,0,1575
-1.104173046,-0.296535015,-0.393994514,1.420968109,0.379043484,-0.106808636,-0.538026504,2.675424067,0,0,0,0,0,0,0,0,0,1,0,1000
-0.441802053,-0.296535015,-0.260299956,-0.760690394,0.73716904,-0.081513106,0.174128403,-0.858118277,0,0,0,0,0,0,0,0,0,1,0,2222
0.294165717,0.495164426,0.109460179,1.34927805,1.306828366,-0.095150736,0.4815812,0.585694724,0,0,0,0,0,0,0,0,0,1,0,29000
0.294165717,0.495164426,-0.084176242,-0.053631439,-1.37110556,-0.106808636,0.038220978,-0.782128119,0,0,0,0,0,0,0,0,0,1,0,3150
-1.177769823,-1.088234456,-0.374630872,-1.010937953,0.746376363,-0.122421403,-0.85755996,-0.212201935,0,0,0,0,0,0,0,0,0,1,0,1400
0.367762494,0.495164426,-0.237376821,1.643705482,0.405155841,-0.106808636,0.07687909,-0.36418225,0,0,0,0,0,0,0,0,0,1,0,2350
-1.177769823,-1.879933897,-0.359880333,-1.999080664,-3.897328672,0.964850028,-1.202462803,0.395719329,1,0,0,0,0,0,0,0,0,0,0,1200
-1.104173046,-0.296535015,-0.363297446,1.42251252,0.411996435,-0.106808636,-0.49091193,1.231611066,0,0,0,0,0,0,0,0,0,1,0,1175
-0.368205276,-0.296535015,-0.21744366,1.538711932,0.402487901,-0.106808636,-0.2432584,-0.098216698,0,0,0,0,0,0,0,0,0,1,0,2390
-1.177769823,-2.671633338,-0.325652248,-1.250084574,0.8802934,-0.106808636,-1.055682784,-0.820123198,1,0,0,0,0,0,0,0,0,0,0,1575
0.367762494,0.495164426,0.238171446,-0.54887124,-0.060463969,-0.1129729,1.128500542,-1.162078909,0,0,0,0,0,0,0,0,0,1,0,5445
-0.441802053,0.495164426,-0.305776039,-0.523026698,0.80757448,-0.106808636,-0.375541627,-0.74413304,0,0,0,0,0,0,0,0,0,1,0,1595
-0.441802053,0.495164426,-0.319957059,-0.705726516,0.821705647,-0.100892412,-0.23117774,-0.136211777,0,0,0,0,0,0,0,0,0,1,0,1295
1.030133487,0.495164426,0.280885363,-0.777321065,0.799248053,-0.050365659,0.776953337,-0.858118277,0,0,0,0,0,0,0,0,0,1,0,6156
-1.913737593,-0.296535015,-0.311414276,-0.647878375,-0.01964469,-0.106808636,-0.236010004,-0.326187171,0,0,0,0,0,1,0,0,0,0,0,1050
-0.441802053,-0.296535015,-0.300593417,-0.691254039,0.775722424,-0.108811332,-0.427488465,-0.706137961,0,0,0,0,0,0,0,0,0,1,0,1998
1.103730264,0.495164426,0.309361307,1.556918305,0.409093667,-0.106808636,1.022794767,-1.238069066,0,0,0,0,0,0,0,0,0,1,0,5888
-0.441802053,-0.296535015,-0.317109465,0.047953224,0.397832723,-0.106808636,-0.260171324,-0.630147803,0,0,0,0,0,0,0,0,0,1,0,1200
-0.441802053,-0.296535015,-0.214596066,-1.032656675,0.758391567,-0.088352591,-0.297017337,-1.12408383,0,0,0,0,0,0,0,0,0,1,0,3000
-0.441802053,-0.296535015,-0.429304685,-0.561359906,-0.047900895,0.392882584,-0.33990368,0.053763618,0,0,0,0,0,0,0,0,1,0,0,1550
-1.913737593,-0.296535015,-0.319444492,-0.494805376,-0.044348565,0.11168742,-0.236010004,-0.326187171,0,0,0,0,0,1,0,0,0,0,0,1350
-0.441802053,-0.296535015,-0.302871493,-0.496732626,-0.030828281,0.353728943,-0.547691032,-0.516162566,0,0,0,0,0,0,0,0,0,1,0,1600
0.367762494,0.495164426,-0.25844959,-0.583132927,-0.026088265,-0.099013736,0.908632531,-0.934108435,0,0,0,0,0,0,0,0,0,1,0,2650
-0.368205276,-0.296535015,-0.342737815,1.220120777,0.376722734,-0.106808636,-0.016141992,-0.326187171,0,0,0,0,0,0,0,0,0,1,0,1250
-0.441802053,-0.296535015,-0.163339366,0.222563707,-1.469473765,-0.10934416,-0.662457301,1.07963075,0,0,0,0,0,0,0,0,0,1,0,2900
-1.361761766,-0.296535015,-0.330777918,2.5973714,-1.660619936,-0.112812133,-0.785680033,2.90339454,0,0,0,0,0,0,0,0,0,1,0,1500
2.502069027,1.286863867,0.616901504,-1.029474467,0.877207949,4.32909583,1.994683864,-0.782128119,0,0,0,0,0,0,0,0,0,1,0,14212
-0.441802053,0.495164426,-0.271604906,0.301342893,-1.44590155,-0.101732994,-0.487891765,0.547699645,0,0,0,0,0,0,0,0,0,1,0,1795
0.294165717,-0.296535015,1.844214698,0.634173843,-1.675215488,0.055262816,1.750050499,-0.136211777,0,0,0,0,0,0,0,0,0,1,0,12954
0.294165717,0.495164426,-0.018112051,-0.049349146,-1.377556135,-0.106808636,-0.346548043,0.585694724,0,0,0,0,0,0,0,0,0,1,0,2650
0.294165717,-0.296535015,-0.043740401,0.219619055,-1.50842049,-0.118530843,0.02251612,-0.554157645,0,0,0,0,0,0,0,0,0,1,0,2850
1.030133487,0.495164426,-0.103539884,0.540076984,-1.265421515,-0.084797344,0.430842428,-0.896113356,0,0,0,0,0,0,0,0,0,1,0,2937
1.030133487,-0.296535015,-0.203205688,-0.443803778,-0.208314596,-0.146825825,0.360170567,0.395719329,0,0,0,0,0,0,0,0,0,1,0,2395
0.294165717,0.495164426,-0.032350023,0.448078974,-1.600248099,0.453432008,0.292518871,-0.36418225,0,0,0,0,0,0,0,0,0,1,0,2800
0.294165717,0.495164426,3.548784716,0.787058364,-1.692050694,0.045175839,0.09500008,1.231611066,0,0,0,0,0,0,0,0,0,1,0,18536
1.030133487,-0.296535015,-0.046587995,-1.063246249,0.886906626,-0.106808636,-0.029430718,-0.478167487,0,0,0,0,0,0,0,0,0,1,0,4000
1.766101257,0.495164426,1.559455256,0.127609645,-1.326690417,-0.054784453,2.172873599,-0.934108435,0,0,0,0,0,0,0,0,0,1,0,16477
